"","GID_2","value"
"880","USA.23.5_1",67
"881","USA.23.6_1",30
"882","USA.23.7_1",15
"883","USA.23.8_1",239
"884","USA.23.9_1",37
"885","USA.23.10_1",37
"886","USA.23.11_1",96
"887","USA.23.12_1",135
"888","USA.23.13_1",152
"889","USA.23.14_1",84
"890","USA.23.15_1",58
"891","USA.23.16_1",54
"892","USA.23.17_1",70
"893","USA.23.18_1",59
"894","USA.23.19_1",205
"895","USA.23.20_1",12
"896","USA.23.21_1",46
"897","USA.23.22_1",21
"898","USA.23.23_1",177
"899","USA.23.24_1",103
"900","USA.23.25_1",244
"901","USA.23.26_1",90
"902","USA.23.27_1",20
"903","USA.23.28_1",115
"904","USA.23.29_1",61
"905","USA.23.30_1",181
"906","USA.23.31_1",40
"907","USA.23.32_1",81
"908","USA.23.33_1",181
"909","USA.23.34_1",160
"910","USA.23.35_1",59
"911","USA.23.36_1",20
"912","USA.23.37_1",89
"913","USA.23.38_1",200
"914","USA.23.39_1",102
"915","USA.23.40_1",36
"916","USA.23.41_1",205
"917","USA.23.42_1",0
"918","USA.23.43_1",38
"919","USA.23.44_1",0
"920","USA.23.45_1",0
"921","USA.23.46_1",0
"922","USA.23.47_1",0
"923","USA.23.48_1",256
"924","USA.23.49_1",103
"925","USA.23.50_1",137
"926","USA.23.51_1",161
"927","USA.23.52_1",21
"928","USA.23.53_1",22
"929","USA.23.54_1",85
"930","USA.23.55_1",64
"931","USA.23.56_1",85
"932","USA.23.57_1",66
"933","USA.23.58_1",151
"934","USA.23.59_1",39
"935","USA.23.60_1",113
"936","USA.23.61_1",52
"937","USA.23.62_1",172
"938","USA.23.63_1",167
"939","USA.23.64_1",25
"940","USA.23.65_1",58
"941","USA.23.66_1",172
"942","USA.23.67_1",169
"943","USA.23.68_1",92
"944","USA.23.69_1",46
"945","USA.23.70_1",11
"946","USA.23.71_1",88
"947","USA.23.72_1",36
"948","USA.23.73_1",63
"949","USA.23.74_1",141
"950","USA.23.75_1",50
"951","USA.23.76_1",5
"952","USA.23.77_1",125
"953","USA.23.78_1",224
"954","USA.23.79_1",178
"955","USA.23.80_1",189
"956","USA.23.81_1",15
"957","USA.23.82_1",136
"958","USA.23.83_1",172
"959","USA.23.84_1",135
"960","USA.23.85_1",335
"961","USA.23.86_1",61
"962","USA.23.87_1",80
"963","USA.24.1_1",81
"964","USA.24.2_1",59
"965","USA.24.3_1",64
"966","USA.24.4_1",85
"967","USA.24.5_1",109
"968","USA.24.6_1",17
"969","USA.24.7_1",54
"970","USA.24.8_1",52
"971","USA.24.9_1",110
"972","USA.24.10_1",93
"973","USA.24.11_1",118
"974","USA.24.12_1",24
"975","USA.24.13_1",188
"976","USA.24.14_1",58
"977","USA.24.15_1",42
"978","USA.24.16_1",7
"979","USA.24.17_1",30
"980","USA.24.18_1",66
"981","USA.24.19_1",112
"982","USA.24.20_1",77
"983","USA.24.21_1",101
"984","USA.24.22_1",36
"985","USA.24.23_1",138
"986","USA.24.24_1",54
"987","USA.24.25_1",177
"988","USA.24.26_1",18
"989","USA.24.27_1",114
"990","USA.24.28_1",63
